RetentionTime	Intensity
0.00144671093333333	56370.9954528809
0.0120289397333333	51591.5331420898
0.0223266453333333	51426.1373901367
0.0326194322666667	53340.8756408691
0.0429212309333333	45292.3833618164
0.0532188029333333	42098.4178466797
0.0635371146666667	51897.8518676758
0.0738382194666667	65874.024230957
0.0841470026666667	56723.0722351074
0.0944708258666667	50500.0917663574
0.104773915466667	55338.4756774902
0.115082333866667	44335.5146179199
0.125404153866667	53090.1213684082
0.1357056632	47631.6904602051
0.146010104266667	48796.9485778809
0.156338358666667	62452.3077392578
0.166641374933333	57627.1826782227
0.176942949066667	57091.2665710449
0.187247628	52407.0995483398
0.197572014133333	60995.2275085449
0.207878689333333	58789.8045043945
0.218180065333333	58563.9104309082
0.22850476	62165.1481323242
0.238810032266667	48082.9856262207
0.2491131632	48381.8963012695
0.259433739733333	56526.5156555176
0.269735669066667	53114.0689086914
0.280047692533333	64072.5688781738
0.290372748266667	113176.098419189
0.3006881744	127783.713317871
0.311002138666667	177257.002990723
0.321334912533333	177016.74118042
0.331605145333333	148824.915130615
0.341922264	131282.907348633
0.3522410888	99869.9790649414
0.362576738933333	80436.2934265137
0.3728833304	66163.289855957
0.3831872312	60298.4209594727
0.393512577066667	38421.7027282715
0.403809265066667	53707.5452575684
0.414112145333333	51137.0394897461
0.4244324744	62205.6044006348
0.4347369608	35814.7009887695
0.4450350912	50001.4682312012
0.455361485066667	49259.0810546875
0.465663636266667	51010.1165771484
0.47596576	45652.3985595703
0.4862658088	51637.658203125
0.496595033866667	42107.0285339355
0.506894366933333	51649.9730529785
0.5171990064	58426.7566833496
0.527524625066667	49175.7007446289
0.537829217066667	49487.8296813965
0.548130137066667	42726.9655151367
0.558453114933333	46727.7917480469
0.568754056533333	50086.904083252
0.579057589866667	55828.3278808594
0.589389686933333	57615.9889221191
0.599687619733333	49223.2649230957
0.609988191733333	50539.635559082
0.620289543733333	56234.5096435547
0.630613209866667	59099.9211730957
0.640916274133333	41436.5738830566
0.651215471733333	48937.2925109863
0.661543670933333	47993.8747253418
0.671845126133333	49589.3917236328
0.682150355733333	55042.1000671387
0.692470862133333	49975.4559020996
0.702772926666667	50145.3583374023
0.713074361333333	58301.0827331543
0.72339566	58857.8241577148
0.733703328266667	52177.0462341309
0.744006367466667	50850.5118713379
0.7543282352	47645.9815063477
0.764566750933333	53283.390411377
0.774867268	48573.7172241211
0.7851690184	49150.0988769531
0.795489200266667	45598.8381347656
0.805788266666667	53552.8376159668
0.816093795733333	45073.7832336426
0.826417710933333	45570.1281433105
0.8367177968	58587.8555297852
0.847022060266667	65979.5249633789
0.857348699733333	36721.0404968262
0.8676441864	69534.9825439453
0.877950614133333	57090.2934265137
0.888274961333333	53375.6870422363
0.898579441066667	54424.8742675781
0.908881673866667	56317.3614196777
0.919184611466667	47886.4772644043
0.929506913866667	45925.7931518555
0.939805307466667	44713.5838012695
0.950110128533333	39596.6463928223
0.960427813333333	41972.4577331543
0.970726936266667	40542.7924194336
0.981025380533333	48151.5516052246
0.991353864	42869.7245178223
1.0016528216	49354.5976257324
1.01195422266667	43166.8369445801
1.0222936736	48318.7118225098
1.032594428	55008.1829223633
1.04289901786667	48314.8319091797
1.0532011232	48637.8015136719
1.06352817226667	36847.469909668
1.0738287736	46637.4025878906
1.0841292528	43081.7483825684
1.09444764346667	49105.1980895996
1.10475361706667	49209.9038085938
1.11505115093333	53942.9410400391
1.1253745472	45617.9214477539
1.1356772064	54825.4676818848
1.14598228666667	53540.8217468262
1.15630932026667	48734.4455871582
1.16661063306667	50657.6626586914
1.17691057253333	46514.1175842285
1.18720873946667	44605.2667541504
1.19753191706667	58437.8005371094
1.20783519066667	54850.911895752
1.21813837066667	52676.4686889648
1.2284632864	45285.1850585938
1.23877226133333	44680.547088623
1.24906516746667	43068.5760803223
1.25938405066667	40096.8090515137
1.26968311413333	56719.1296386719
1.27998903706667	41787.973449707
1.29031008773333	47978.8839416504
1.30061100453333	40158.0598144531
1.31090847306667	42660.0137939453
1.32122135173333	46603.3838806152
1.33146633173333	38309.296875
1.34176831146667	38463.914855957
1.35206589653333	46219.2008972168
1.36238678986667	44559.9677734375
1.37268783386667	53866.9954223633
1.3829917112	50359.5137939453
1.3933141304	50249.8023376465
1.40361677253333	39620.5944213867
1.4139142552	52440.5529785156
1.42423685253333	48376.1682128906
1.43453880826667	52664.8864746094
1.44484296666667	58878.1264038086
1.45516710693333	39476.3887634277
1.46546357653333	47140.5229797363
1.47576472746667	46559.9510803223
1.4860691784	42277.3141784668
1.49639122853333	48451.7523193359
1.5066936824	38226.2714233398
1.5169937944	42022.2587280273
1.527312248	48455.9829711914
1.53762121066667	57157.7024536133
1.54792408026667	48088.0473327637
1.5582462928	55035.5899353027
1.56854871066667	50053.9401550293
1.57885871226667	45678.768157959
1.58917899546667	56561.9110717773
1.5994821464	54388.4189453125
1.60978338	55233.9130249023
1.62008343573333	45259.0231323242
1.63040474213333	40819.2508850098
1.64070858853333	45447.3090209961
1.65101053333333	45039.1347961426
1.661340904	50466.2853393555
1.6716438416	44711.5497741699
1.68194217386667	43000.0462036133
1.69226322586667	31481.5956420898
1.70256145013333	48376.4819335938
1.71286417173333	39045.0061645508
1.7231830288	37375.6045227051
1.73348338373333	35706.9399108887
1.74378301013333	38123.5050964355
1.75409404773333	45558.6325683594
1.76433163013333	43119.9384155273
1.77463302213333	48151.7362060547
1.7849374096	48808.5878295898
1.7952583224	43511.7061462402
1.80555903466667	49382.944152832
1.81586332666667	38743.6004638672
1.82618978506667	48068.6605224609
1.8364921152	41275.9224243164
1.846794476	42019.1777954102
1.8571119096	36401.3638916016
1.86741192266667	46195.7934265137
1.87771868666667	45709.1256408691
1.88802869813333	52862.0657958984
1.89826686693333	35423.1167602539
1.9085626744	46607.7253112793
1.91886793973333	41722.5272827148
1.92918569253333	39761.2234802246
1.93948515466667	35401.1010742188
1.9497836288	46700.4468994141
1.960106136	39729.5336303711
1.97040408826667	33103.2963256836
1.980701656	44159.3670349121
1.99102619706667	45446.2482910156
2.00132768266667	46502.270324707
2.01162514426667	55161.3870849609
2.02195238373333	53393.0003967285
2.03225330693333	46576.212677002
2.04255426266667	42755.6994934082
2.05287261226667	54306.168548584
2.06320028266667	45837.1679077148
2.07349755493333	47901.9829101563
2.08379870053333	42731.904510498
2.09411884453333	57067.4600830078
2.10442138986667	35604.7274169922
2.11472142453333	42047.9239501953
2.12504230506667	38339.5125732422
2.135344884	43072.0429992676
2.14564468746667	48411.3393859863
2.15596972133333	51380.7160949707
2.16627148933333	39704.0246887207
2.176571268	40777.3646850586
2.1868674024	40838.0828857422
2.19718543866667	28889.7841186523
2.20748518106667	46415.8392333984
2.21778356746667	42112.7657165527
2.22810455893333	47140.363494873
2.23840859253333	49062.065612793
2.24870917653333	46752.5934143066
2.2590302816	45460.8439941406
2.26933147466667	43910.3681335449
2.2796323928	44589.222442627
2.28995589626667	49288.7321472168
2.3002566792	32743.7697143555
2.31055554693333	46298.9596557617
2.32086801226667	42717.4847717285
2.33111237893333	38102.6597900391
2.34141047333333	49365.8519287109
2.35171243786667	46116.8827514648
2.36203125253333	44574.8914794922
2.37233027253333	42663.6750183105
2.38262891946667	50928.0870361328
2.3929506208	45511.0550842285
2.4032491912	40972.5739135742
2.41355349306667	48941.2923583984
2.42387325386667	44441.0737609863
2.43417588586667	37692.0456237793
2.44447334213333	36326.4081420898
2.45479152506667	54768.8081054688
2.4650942672	41418.9889831543
2.47539421013333	34126.1428833008
2.48568964373333	45849.787902832
2.49602039493333	53097.1302490234
2.50632003146667	45386.2315063477
2.516617136	45417.1536560059
2.52693733066667	41081.9736022949
2.53723404053333	45104.1425170898
2.54753255573333	44930.7196044922
2.5578521	50578.0785522461
2.5681500792	36388.2800292969
2.57844678906667	50618.4532775879
2.58877806666667	50984.5223083496
2.59907980186667	45205.454284668
2.60938200026667	39081.1053161621
2.61967910293333	48649.6698913574
2.63000343253333	37897.9422607422
2.64030114613333	42015.7851257324
2.65059915093333	47301.5885925293
2.6609253872	53188.5485839844
2.6712275664	67836.203338623
2.68153386986667	51272.7821350098
2.69186202453333	69332.4934692383
2.702169624	61601.4078369141
2.71247496266667	49675.0088500977
2.7227986912	46582.5198364258
2.73310002426667	52188.2003173828
2.74340180853333	47991.4376525879
2.7537032	48275.7932128906
2.76402204	40575.4898071289
2.7743187856	53513.2385253906
2.78461669493333	50127.4158630371
2.79493987333333	41864.1746520996
2.8052382552	40803.2598876953
2.8155365568	45979.6117248535
2.8258642024	37955.4719848633
2.83616214906667	50214.1829528809
2.84646391573333	45684.234161377
2.85678448186667	33292.6867675781
2.86708117066667	49239.0496520996
2.87738327173333	53277.2062530518
2.88770202453333	49317.768737793
2.89794022053333	41720.0243530273
2.90823769466667	39510.0821228027
2.9185381552	61146.1021728516
2.92886277493333	60646.2190856934
2.9391653032	57226.0704345703
2.94946840106667	38823.4298095703
2.95978603813333	59148.8221740723
2.9700877528	66149.9397277832
2.98038958293333	56559.2172241211
2.990715436	51305.7978515625
3.00101764906667	61864.7400817871
3.01132205066667	48433.7746582031
3.0216416104	68144.2733459473
3.03194400613333	56394.8584899902
3.04224704213333	49117.1459960938
3.05255133146667	60775.578125
3.06288231973333	50650.5003356934
3.0731734848	49110.4396972656
3.0834997976	51568.7991027832
3.09382008266667	54988.1661987305
3.1041192696	60062.8713684082
3.1144250672	50160.0016174316
3.12474558586667	56619.9801940918
3.1350482432	59549.5610351563
3.1453507824	49727.6846923828
3.1556769048	47842.7716064453
3.16597781093333	52398.7823791504
3.17628244746667	62960.6827697754
3.18658827413333	53869.5616760254
3.19691351226667	48774.223815918
3.2072176464	49928.6668395996
3.21752020773333	50872.1683349609
3.22784193626667	48653.9126281738
3.2381385256	47444.1086730957
3.2484381632	42175.6228637695
3.25876121466667	45553.5534667969
3.26906101146667	54634.3344116211
3.2793654888	58782.5850219727
3.28968859493333	54355.0608825684
3.29998795306667	56834.5251464844
3.31029255226667	49365.3807678223
3.32059738933333	41958.4364929199
3.33092166026667	49743.1418762207
3.34122278213333	53392.1160583496
3.35152714426667	50134.3820495605
3.3618495976	52213.0188598633
3.37215080533333	58880.6950073242
3.38245393733333	56945.7879943848
3.39277720613333	37134.5208435059
3.4030763416	45767.3384399414
3.4133832904	52085.6988525391
3.42370812133333	54000.7575378418
3.4340103288	53320.2165527344
3.4443143784	55457.4272155762
3.4546285128	40005.6625061035
3.46486553706667	51449.2937011719
3.47517183226667	46855.4440612793
3.48547474826667	41848.9563598633
3.49579937546667	37812.8061828613
3.5060985408	40587.8333435059
3.51640158906667	35362.6342773438
3.52672131066667	43718.8291015625
3.53702048053333	49107.9936523438
3.54732317146667	34693.6613464355
3.55764250133333	44360.3594055176
3.56794346693333	50541.9125061035
3.578245476	51116.4808044434
3.58857055386667	38375.3685913086
3.59887159013333	38615.9976806641
3.60916854373333	39621.219543457
3.61946671253333	35824.8241882324
3.62978767813333	39857.9567565918
3.64008635466667	47894.5477905273
3.65038356693333	50576.761138916
3.6607118032	40502.2188720703
3.6710178936	50048.2817077637
3.681317848	34820.4828186035
